query,true_domain,pred_domain,true_intent,pred_intent,true_endpoint,pred_endpoint,true_parameters,pred_parameters,true_ontology,pred_ontology,domain_correct,intent_correct,endpoint_correct,parameter_correct,ontology_correct,full_correct
I need to cancel the meeting with ID MEET-5521.,Calendar,Calendar,CancelMeeting,CreateMeeting,/calendar/meetings/cancel,/calendar/meetings/create,meetingId=MEET-5521,title=Meeting;date=UNKNOWN;time=UNKNOWN,CancelMeeting,CreateMeeting,True,False,False,False,False,False
Please delete meeting CAL-330 from my calendar.,Calendar,Calendar,CancelMeeting,CancelMeeting,/calendar/meetings/cancel,/calendar/meetings/cancel,meetingId=CAL-330,meetingId=UNKNOWN,CancelMeeting,CancelMeeting,True,True,True,False,True,False
Cancel calendar event EVT-884.,Calendar,Unknown,CancelMeeting,Unknown,/calendar/meetings/cancel,Unknown,meetingId=EVT-884,,CancelMeeting,Unknown,False,False,False,False,False,False
Cancel the appointment meeting APPT-1199.,Calendar,Unknown,CancelMeeting,Unknown,/calendar/meetings/cancel,Unknown,meetingId=APPT-1199,,CancelMeeting,Unknown,False,False,False,False,False,False
Delete meeting MTG-9920 from the schedule.,Calendar,Calendar,CancelMeeting,CancelMeeting,/calendar/meetings/cancel,/calendar/meetings/cancel,meetingId=MTG-9920,meetingId=UNKNOWN,CancelMeeting,CancelMeeting,True,True,True,False,True,False
Cancel event SESS-3301 on my calendar.,Calendar,Unknown,CancelMeeting,Unknown,/calendar/meetings/cancel,Unknown,meetingId=SESS-3301,,CancelMeeting,Unknown,False,False,False,False,False,False
Please cancel meeting MEET-7723; I cannot attend.,Calendar,Calendar,CancelMeeting,CancelMeeting,/calendar/meetings/cancel,/calendar/meetings/cancel,meetingId=MEET-7723,meetingId=UNKNOWN,CancelMeeting,CancelMeeting,True,True,True,False,True,False
Erase appointment EVT-0050 from the calendar.,Calendar,Unknown,CancelMeeting,Unknown,/calendar/meetings/cancel,Unknown,meetingId=EVT-0050,,CancelMeeting,Unknown,False,False,False,False,False,False
Drop event CONF-1415 for me.,Calendar,Unknown,CancelMeeting,Unknown,/calendar/meetings/cancel,Unknown,meetingId=CONF-1415,,CancelMeeting,Unknown,False,False,False,False,False,False
BRK-2200 should not be on my day anymore.,Calendar,Unknown,CancelMeeting,Unknown,/calendar/meetings/cancel,Unknown,meetingId=BRK-2200,,CancelMeeting,Unknown,False,False,False,False,False,False
Make SYNC-88 disappear from my agenda.,Calendar,Unknown,CancelMeeting,Unknown,/calendar/meetings/cancel,Unknown,meetingId=SYNC-88,,CancelMeeting,Unknown,False,False,False,False,False,False
Update meeting MTG-001 to next Friday at 3pm.,Calendar,Weather,UpdateMeeting,GetForecast,/calendar/meetings/update,/weather/forecast,meetingId=MTG-001;date=next Friday;time=3pm,city=UNKNOWN;date=next Friday,UpdateMeeting,GetForecast,False,False,False,False,False,False
Move meeting MEET-5521 to Wednesday.,Calendar,Calendar,UpdateMeeting,UpdateMeeting,/calendar/meetings/update,/calendar/meetings/update,meetingId=MEET-5521;date=Wednesday,meetingId=UNKNOWN;date=Wednesday,UpdateMeeting,UpdateMeeting,True,True,True,False,True,False
Change meeting CAL-330 to 2pm.,Calendar,Calendar,UpdateMeeting,UpdateMeeting,/calendar/meetings/update,/calendar/meetings/update,meetingId=CAL-330;time=2pm,meetingId=UNKNOWN;time=2pm,UpdateMeeting,UpdateMeeting,True,True,True,False,True,False
Update calendar event EVT-884 to July 10 at 10am.,Calendar,Unknown,UpdateMeeting,Unknown,/calendar/meetings/update,Unknown,meetingId=EVT-884;date=July 10;time=10am,,UpdateMeeting,Unknown,False,False,False,False,False,False
Move calendar meeting APPT-1199 to Thursday at 4pm.,Calendar,Unknown,UpdateMeeting,Unknown,/calendar/meetings/update,Unknown,meetingId=APPT-1199;date=Thursday;time=4pm,,UpdateMeeting,Unknown,False,False,False,False,False,False
Change the schedule for meeting MTG-9920 to September 15.,Calendar,Calendar,UpdateMeeting,CreateMeeting,/calendar/meetings/update,/calendar/meetings/create,meetingId=MTG-9920;date=September 15,title=Meeting;date=UNKNOWN;time=UNKNOWN,UpdateMeeting,CreateMeeting,True,False,False,False,False,False
Please update meeting SESS-3301 so it is 8:30am.,Calendar,Calendar,UpdateMeeting,UpdateMeeting,/calendar/meetings/update,/calendar/meetings/update,meetingId=SESS-3301;time=8:30am,meetingId=UNKNOWN;time=30am,UpdateMeeting,UpdateMeeting,True,True,True,False,True,False
Move meeting ID MEET-7723; new slot is next Monday.,Calendar,Weather,UpdateMeeting,GetForecast,/calendar/meetings/update,/weather/forecast,meetingId=MEET-7723;date=next Monday,city=UNKNOWN;date=next Monday,UpdateMeeting,GetForecast,False,False,False,False,False,False
Can EVT-0050 happen on October 1 at 11am instead?,Calendar,Unknown,UpdateMeeting,Unknown,/calendar/meetings/update,Unknown,meetingId=EVT-0050;date=October 1;time=11am,,UpdateMeeting,Unknown,False,False,False,False,False,False
Adjust CONF-1415 so it lands on Friday at 9am.,Calendar,Unknown,UpdateMeeting,Unknown,/calendar/meetings/update,Unknown,meetingId=CONF-1415;date=Friday;time=9am,,UpdateMeeting,Unknown,False,False,False,False,False,False
BRK-2200 needs the new slot 6pm.,Calendar,Unknown,UpdateMeeting,Unknown,/calendar/meetings/update,Unknown,meetingId=BRK-2200;time=6pm,,UpdateMeeting,Unknown,False,False,False,False,False,False
The old time for SYNC-88 no longer works; use next Tuesday at 2:30pm.,Calendar,Unknown,UpdateMeeting,Unknown,/calendar/meetings/update,Unknown,meetingId=SYNC-88;date=next Tuesday;time=2:30pm,,UpdateMeeting,Unknown,False,False,False,False,False,False
Am I available on Monday?,Calendar,Product,CheckAvailability,CheckProductAvailability,/calendar/availability,/products/availability,date=Monday,productId=UNKNOWN,CheckAvailability,CheckProductAvailability,False,False,False,False,False,False
Am I available on June 25 at 3pm?,Calendar,Product,CheckAvailability,CheckProductAvailability,/calendar/availability,/products/availability,date=June 25;time=3pm,productId=UNKNOWN,CheckAvailability,CheckProductAvailability,False,False,False,False,False,False
Is my calendar available on Tuesday?,Calendar,Product,CheckAvailability,CheckProductAvailability,/calendar/availability,/products/availability,date=Tuesday,productId=UNKNOWN,CheckAvailability,CheckProductAvailability,False,False,False,False,False,False
Am I available on Friday at 10am?,Calendar,Product,CheckAvailability,CheckProductAvailability,/calendar/availability,/products/availability,date=Friday;time=10am,productId=UNKNOWN,CheckAvailability,CheckProductAvailability,False,False,False,False,False,False
Can you see if I am available on July 5 at 2pm?,Calendar,Product,CheckAvailability,CheckProductAvailability,/calendar/availability,/products/availability,date=July 5;time=2pm,productId=UNKNOWN,CheckAvailability,CheckProductAvailability,False,False,False,False,False,False
Check if my calendar is available for September 20.,Calendar,Product,CheckAvailability,CheckProductAvailability,/calendar/availability,/products/availability,date=September 20,productId=UNKNOWN,CheckAvailability,CheckProductAvailability,False,False,False,False,False,False
Am I available for a meeting on next Thursday at 9am?,Calendar,Product,CheckAvailability,CheckProductAvailability,/calendar/availability,/products/availability,date=next Thursday;time=9am,productId=UNKNOWN,CheckAvailability,CheckProductAvailability,False,False,False,False,False,False
Show whether I am available around October 15.,Calendar,Product,CheckAvailability,CheckProductAvailability,/calendar/availability,/products/availability,date=October 15,productId=UNKNOWN,CheckAvailability,CheckProductAvailability,False,False,False,False,False,False
Can something fit into my schedule on November 3 at noon?,Calendar,Calendar,CheckAvailability,CreateMeeting,/calendar/availability,/calendar/meetings/create,date=November 3;time=noon,title=UNKNOWN;date=UNKNOWN;time=UNKNOWN,CheckAvailability,CreateMeeting,True,False,False,False,False,False
Do I have anything blocking next Wednesday?,Calendar,Unknown,CheckAvailability,Unknown,/calendar/availability,Unknown,date=next Wednesday,,CheckAvailability,Unknown,False,False,False,False,False,False
Could I say yes to a call on August 8 at 4pm?,Calendar,Weather,CheckAvailability,GetWindSpeed,/calendar/availability,/weather/wind,date=August 8;time=4pm,city=UNKNOWN,CheckAvailability,GetWindSpeed,False,False,False,False,False,False
Would December 1 work for me?,Calendar,Unknown,CheckAvailability,Unknown,/calendar/availability,Unknown,date=December 1,,CheckAvailability,Unknown,False,False,False,False,False,False
List my calendar events for Monday.,Calendar,Calendar,ListEvents,ListEvents,/calendar/events,/calendar/events,date=Monday,date=Monday,ListEvents,ListEvents,True,True,True,True,True,True
Show me all events scheduled for June 25.,Calendar,Calendar,ListEvents,CreateMeeting,/calendar/events,/calendar/meetings/create,date=June 25,title=UNKNOWN;date=UNKNOWN;time=UNKNOWN,ListEvents,CreateMeeting,True,False,False,False,False,False
List the meetings I have for tomorrow.,Calendar,Weather,ListEvents,GetForecast,/calendar/events,/weather/forecast,date=tomorrow,city=UNKNOWN;date=tomorrow,ListEvents,GetForecast,False,False,False,False,False,False
Display my calendar events for next Friday.,Calendar,Weather,ListEvents,GetForecast,/calendar/events,/weather/forecast,date=next Friday,city=UNKNOWN;date=next Friday,ListEvents,GetForecast,False,False,False,False,False,False
Show calendar appointments and events on July 10.,Calendar,Unknown,ListEvents,Unknown,/calendar/events,Unknown,date=July 10,,ListEvents,Unknown,False,False,False,False,False,False
List everything on my schedule for Thursday.,Calendar,Calendar,ListEvents,CreateMeeting,/calendar/events,/calendar/meetings/create,date=Thursday,title=UNKNOWN;date=Thursday;time=UNKNOWN,ListEvents,CreateMeeting,True,False,False,False,False,False
Show my calendar events and meetings for August 5.,Calendar,Calendar,ListEvents,ListEvents,/calendar/events,/calendar/events,date=August 5,date=UNKNOWN,ListEvents,ListEvents,True,True,True,False,True,False
Can you list events on September 12?,Calendar,Calendar,ListEvents,ListEvents,/calendar/events,/calendar/events,date=September 12,date=UNKNOWN,ListEvents,ListEvents,True,True,True,False,True,False
What do I have going on today?,Calendar,Unknown,ListEvents,Unknown,/calendar/events,Unknown,date=today,,ListEvents,Unknown,False,False,False,False,False,False
Let me see everything booked for next Tuesday.,Calendar,Unknown,ListEvents,Unknown,/calendar/events,Unknown,date=next Tuesday,,ListEvents,Unknown,False,False,False,False,False,False
How does my day look on October 28?,Calendar,Unknown,ListEvents,Unknown,/calendar/events,Unknown,date=October 28,,ListEvents,Unknown,False,False,False,False,False,False
Remind me what I committed to on November 15.,Calendar,Unknown,ListEvents,Unknown,/calendar/events,Unknown,date=November 15,,ListEvents,Unknown,False,False,False,False,False,False
